ID;w;day_list;week_list;month_list
1000000001;0.6037;0;0;0
1000000002;1.1176;0;0;0
1000000003;0.8871;0;0;0
1000000004;1.0779;0;0;0
1000000005;1.0603;1;7;1
1000000006;1.0417;0;1;1
1000000007;1.183;0;0;0
1000000008;0.7089;0;0;0
1000000009;0.8538;0;0;0
1000000010;0.8913;0;2;1
1000000011;0.5921;0;0;0
1000000012;0.9319;0;0;0
1000000013;0.6348;0;0;0
1000000014;0.7959;0;7;1
1000000015;1.0718;0;0;0
1000000016;0.9442;0;0;0
1000000017;1.2269;0;0;0
1000000018;0.8696;1;5;1
1000000019;0.5987;0;0;0
1000000020;1.0218;0;0;0
1000000021;1.2731;0;0;0
1000000022;1.2103;0;0;0
1000000023;0.6508;0;0;0
1000000024;0.7713;0;0;0
1000000025;1.3246;0;0;0
1000000026;0.6507;0;0;0
1000000027;0.9463;0;0;0
1000000028;1.2184;0;0;0
1000000029;1.0015;0;0;0
1000000030;0.9351;0;0;1
1000000031;1.6513;0;0;0
1000000032;0.6932;0;1;1
1000000033;1.0281;0;0;0
1000000034;1.2971;0;2;1
1000000035;0.8252;0;0;0
1000000036;0.8039;0;0;1
1000000037;0.9037;0;0;0
1000000038;1.5037;0;4;1
1000000039;0.9474;0;0;0
1000000040;0.9966;0;0;0
1000000041;0.6353;0;0;0
1000000042;0.9796;0;0;0
1000000043;0.8481;0;0;0
1000000044;0.7488;0;0;1
1000000045;0.8848;0;0;0
1000000046;1.5723;0;0;0
1000000047;0.715;0;0;0
1000000048;1.5465;1;5;1
1000000049;1.106;1;5;1
1000000050;1.4771;0;0;0
1000000051;1.0449;0;0;0
1000000052;0.5996;0;0;0
1000000053;1.1055;0;0;0
1000000054;1.0883;0;0;1
1000000055;1.2598;0;0;1
1000000056;0.7484;0;0;0
1000000057;0.708;0;5;1
1000000058;0.9497;0;0;0
1000000059;1.1012;0;1;1
1000000060;1.1341;0;0;0
1000000061;1.8572;0;0;0
1000000062;1.4031;0;0;1
1000000063;0.8331;0;0;0
1000000064;1.1016;0;5;1
1000000065;0.8892;0;0;0
1000000066;0.8035;0;1;1
1000000067;1.0267;0;0;0
1000000068;0.8961;0;0;0
1000000069;1.4819;0;0;0
1000000070;0.9511;0;1;1
1000000071;0.7841;0;0;0
1000000072;1.134;0;0;0
1000000073;0.7784;0;0;0
1000000074;1.1385;0;0;0
1000000075;0.8538;0;0;0
1000000076;0.6552;0;3;1
1000000077;0.8021;0;0;1
1000000078;1.2411;0;0;0
1000000079;1.7455;0;0;0
1000000080;1.3475;0;0;0
1000000081;1.2094;0;1;1
1000000082;0.98;1;2;1
1000000083;1.0221;0;5;1
1000000084;0.8164;0;2;1
1000000085;0.6869;0;0;0
1000000086;0.9439;0;0;0
1000000087;1.3132;0;0;1
1000000088;0.9212;1;1;1
1000000089;1.069;0;0;0
1000000090;0.9567;0;0;0
1000000091;1.191;0;0;0
1000000092;2.0809;0;0;0
1000000093;0.532;0;0;0
1000000094;0.6894;0;1;1
1000000095;1.15;0;3;1
1000000096;0.9565;1;3;1
1000000097;1.2433;0;0;0
1000000098;1.1103;0;0;0
1000000099;1.9086;0;0;0
1000000100;1.1918;0;0;0
1000000101;0.7082;0;0;0
1000000102;1.0098;0;0;0
1000000103;1.2433;1;4;1
1000000104;0.5144;0;0;0
1000000105;1.1802;0;0;1
1000000106;0.9921;1;5;1
1000000107;0.8443;0;0;0
1000000108;1.1659;0;0;1
1000000109;0.6194;0;0;0
1000000110;0.9289;1;5;1
1000000111;1.147;0;0;0
1000000112;0.5711;0;0;0
1000000113;0.686;0;0;1
1000000114;0.9456;0;0;0
1000000115;2.4322;0;2;1
1000000116;1.033;0;0;0
1000000117;0.9465;0;0;1
1000000118;0.9769;0;0;0
1000000119;1.1951;0;0;0
1000000120;0.852;0;0;0
1000000121;0.9021;0;0;0
1000000122;1.0919;0;0;0
1000000123;1.7952;0;0;1
1000000124;0.7874;0;0;0
1000000125;0.7404;1;1;1
1000000126;1.0534;0;0;0
1000000127;1.3833;0;0;0
1000000128;1.1827;0;0;0
1000000129;0.9785;0;0;0
1000000130;1.0721;0;0;0
1000000131;0.9367;0;0;0
1000000132;1.0096;1;5;1
1000000133;1.0021;0;0;1
1000000134;0.5411;0;0;0
1000000135;0.6887;0;0;0
1000000136;0.9766;0;0;0
1000000137;0.5589;0;0;0
1000000138;0.94;1;3;1
1000000139;1.0376;0;0;0
1000000140;0.7166;0;0;0
1000000141;1.1037;0;0;0
1000000142;1.0087;0;0;0
1000000143;0.7522;0;0;0
1000000144;1.0123;0;0;0
1000000145;0.8839;0;1;1
1000000146;1.01;0;3;1
1000000147;1.093;0;0;0
1000000148;0.9642;0;1;1
1000000149;1.5976;0;0;0
1000000150;0.9363;0;0;1
1000000151;0.5512;0;1;1
1000000152;0.9737;0;1;1
1000000153;1.1187;0;0;0
1000000154;0.7895;1;1;1
1000000155;0.9036;0;0;0
1000000156;0.9262;0;0;0
1000000157;0.7787;0;0;0
1000000158;0.9232;0;0;0
1000000159;0.8562;0;4;1
1000000160;1.3291;0;0;0
1000000161;0.9178;0;0;0
1000000162;1.4146;0;1;1
1000000163;1.6169;0;0;1
1000000164;0.8351;0;1;1
1000000165;0.6773;1;3;1
1000000166;0.9823;0;0;0
1000000167;0.6062;0;0;0
1000000168;0.8262;0;0;0
1000000169;1.0966;0;0;0
1000000170;1.5297;0;3;1
1000000171;1.8008;0;0;0
1000000172;1.0991;0;0;0
1000000173;0.8517;0;0;1
1000000174;0.848;0;1;1
1000000175;1.11;0;0;0
1000000176;0.8313;0;4;1
1000000177;1.4113;0;0;0
1000000178;0.7688;0;0;0
1000000179;0.8036;0;1;1
1000000180;0.7019;0;0;0
1000000181;0.7514;0;0;0
1000000182;1.0469;0;1;1
1000000183;0.7788;0;0;0
1000000184;0.6325;0;1;1
1000000185;1.0882;0;0;0
1000000186;1.0512;0;0;0
1000000187;0.6887;0;0;0
1000000188;1.0921;0;0;0
1000000189;1.4398;0;0;0
1000000190;1.5545;0;1;1
1000000191;0.5683;0;0;0
1000000192;0.848;0;2;1
1000000193;0.7208;0;0;0
1000000194;0.9115;0;0;0
1000000195;0.5693;0;0;0
1000000196;2.1794;0;0;1
1000000197;0.8765;0;0;1
1000000198;1.0344;0;0;0
1000000199;1.0721;1;7;1
1000000200;0.7939;0;0;0
1000000201;0.8328;0;0;0
1000000202;1.4423;0;0;0
1000000203;1.2204;0;3;1
1000000204;0.813;1;2;1
1000000205;1.0935;0;0;0
1000000206;0.9159;1;5;1
1000000207;1.1453;1;4;1
1000000208;0.9021;0;0;0
1000000209;0.9113;0;0;0
1000000210;0.8057;0;1;1
1000000211;0.9403;0;1;1
1000000212;1.4329;0;0;0
1000000213;1.4051;1;7;1
1000000214;0.9397;0;1;1
1000000215;1.4009;0;3;1
1000000216;0.9024;0;0;0
1000000217;1.7577;0;0;1
1000000218;1.2961;0;0;0
1000000219;1.0185;0;0;0
1000000220;0.6396;0;1;1
1000000221;0.7541;1;3;1
1000000222;0.9115;0;0;0
1000000223;1.0694;0;0;0
1000000224;0.6556;0;0;1
1000000225;0.9819;0;0;1
1000000226;1.158;0;0;0
1000000227;0.9026;0;0;0
1000000228;0.8584;0;0;0
1000000229;1.2889;0;0;0
1000000230;0.5515;0;0;1
1000000231;0.9425;0;0;0
1000000232;1.0296;0;0;0
1000000233;0.6717;0;0;0
1000000234;0.9801;0;3;1
1000000235;0.6868;0;2;1
1000000236;0.9463;0;0;0
1000000237;0.7783;0;0;0
1000000238;1.023;0;0;0
1000000239;0.9024;0;0;0
1000000240;1.4471;0;1;1
1000000241;0.7877;0;0;0
1000000242;0.9051;0;1;1
1000000243;0.9589;0;0;1
1000000244;0.9875;0;0;0
1000000245;0.6094;0;0;1
1000000246;0.8239;0;0;0
1000000247;0.7675;0;2;1
1000000248;0.7495;0;0;0
1000000249;0.6403;0;0;0
1000000250;0.6265;1;6;1
1000000251;0.9425;0;5;1
1000000252;0.7481;0;0;0
1000000253;1.1554;0;0;0
1000000254;0.7965;0;0;0
1000000255;1.0178;0;1;1
